标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡),面积_数值,总价_数值,单价_数值,建造年份_数值,房间数
卡罗又出急卖盘，业主换房诚心出售价格可以刀喜欢来吧,1室2厅1卫,55㎡,东南,中层(共16层),2008年建造,卡罗社区,宝安,翻身路,宝安大道2060-8号,"东南,满五年,近地铁,绿化率高",245.0,44546元/㎡,55.0,245.0,44546.0,2008.0,1.0
商业配套成熟 近地铁 交通便利 近医院 商品房 电梯房,1室1厅1卫,44.94㎡,北,高层(共29层),2005年建造,缔梦园(三期),福田,景田北,莲花路2071号,"北,满五年,近地铁,采光较好",288.0,64086元/㎡,44.94,288.0,64086.0,2005.0,1.0
成交热点小区！大三房，公务员社区，近地铁,3室2厅1卫,97㎡,南北,高层(共28层),2002年建造,益田村,福田,益田村,益田路,"南北,满五年,近地铁,户型方正",430.0,44330元/㎡,97.0,430.0,44330.0,2002.0,3.0
御龙天地 带电梯 近地铁 出行方便 满五唯一 次新小区,4室2厅2卫,136㎡,东南,高层(共61层),2025年建造,御龙天地,罗湖,翠竹,华丽路,"东南,满五年,近地铁,次新房",728.0,53530元/㎡,136.0,728.0,53530.0,2025.0,4.0
业主急出，次新小区，湿地公园景观无遮挡，随时看房,3室2厅2卫,115.04㎡,南,高层(共15层),2023年建造,中信城开红树湾,福田,益田村,香樟道,"南,满二年,近地铁,次新房",832.0,72323元/㎡,115.04,832.0,72323.0,2023.0,3.0
老业主的房子，诚心卖，看房随时）红本在手，价格可谈,3室2厅2卫,112㎡,东南,高层(共55层),2021年建造,京基水贝城市广场,罗湖,水贝,水贝一路104号,"东南,热门小区,南北通透,房东急售",824.0,73572元/㎡,112.0,824.0,73572.0,2021.0,3.0
25楼，业主工厂需要资金，很急,3室2厅2卫,105.53㎡,南,中层(共41层),2008年建造,港丽豪园,福田,福田中心区,海田路2号,"南,满五年,近地铁,绿化率高",565.0,53540元/㎡,105.53,565.0,53540.0,2008.0,3.0
第五大道|精装大4房！小区门口就是地铁，配套成熟，诚意出售,4室2厅2卫,159.85㎡,西南,低层(共27层),2011年建造,第5大道高发西岸花园,宝安,宝安中心区,宝源南路201号,"西南,满五年,近地铁,绿化率高",1250.0,78199元/㎡,159.85,1250.0,78199.0,2011.0,4.0
业主婚房装修3房中高层鸟瞰莲花山景观。楼下地铁口，配套好,3室2厅1卫,84.79㎡,南北,高层(共32层),1996年建造,中银花园,福田,福田中心区,福中一路1006号,"南北,近地铁,车位充足,采光较好",368.0,43402元/㎡,84.79,368.0,43402.0,1996.0,3.0
新上（佳兆业可园 高赠送三房 价格好谈 急售）百鸽笼地铁站,3室2厅1卫,83.43㎡,北,中层(共20层),2008年建造,佳兆业可园(南区),布吉,百鸽笼,湖西路,"北,满五年,近地铁,车位充足",320.0,38356元/㎡,83.43,320.0,38356.0,2008.0,3.0
梅林关次新溪山美地园，精装大四房，南北通透，业主出国急售,4室2厅2卫,119.32㎡,南,高层(共30层),2009年建造,溪山美地园,龙华,梅林关口,梅坂大道236号,"南,满五年,近地铁",650.0,54476元/㎡,119.32,650.0,54476.0,2009.0,4.0
前海花园 医疗配套成熟 交通便捷 商品房 商业配套成熟,3室2厅1卫,81.24㎡,西,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,唯一住房,近地铁,采光较好",530.0,65239元/㎡,81.24,530.0,65239.0,2004.0,3.0
业主让出100个急出中海阳光橡树次新小区南约地铁口 216万,3室2厅2卫,92㎡,东南,低层(共33层),2020年建造,中海阳光橡树园,龙岗,宝龙,宝横路,"东南,满五年,近地铁,采光较好",216.0,23479元/㎡,92.0,216.0,23479.0,2020.0,3.0
蛇口公馆海景两房，刚需投资 得拥有,2室1厅1卫,53.83㎡,东南,高层(共41层),2019年建造,万科蛇口公馆(商住楼),南山,蛇口,湾厦路,"东南,满五年,近地铁,多人关注",308.0,57218元/㎡,53.83,308.0,57218.0,2019.0,2.0
新出一楼带50平院子！南向阳光超充足 业主置换笋盘出售！,3室2厅2卫,110.43㎡,南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"南,满五年,近地铁",750.0,67917元/㎡,110.43,750.0,67917.0,2002.0,3.0
业主急售，精装修，原装四房，地铁口，满5年，次新房,4室2厅2卫,105㎡,北,中层(共31层),2016年建造,佳兆业山海苑,盐田,盐田,盐田路24号,"北,有电梯,近地铁,车位充足",280.0,26667元/㎡,105.0,280.0,26667.0,2016.0,4.0
正看公园，四室两厅，宽敞舒适，车位充足，尽享绿意生活,4室2厅2卫,118.92㎡,南,低层(共43层),2023年建造,华富村,福田,华强北,华富路,"南,热门小区,房东急售,随时可看",1200.0,100909元/㎡,118.92,1200.0,100909.0,2023.0,4.0
338 留仙洞总部基地，22年次新高品质小区，精装大三房,3室2厅2卫,90㎡,南北,中层(共49层),2022年建造,创智云城,南山,西丽,留仙大道,"南北,满二年,近地铁,次新房",396.0,44000元/㎡,90.0,396.0,44000.0,2022.0,3.0
宝安大三房，精装修拎包入住，万达广场对面，业主急急急,3室2厅1卫,78.8㎡,南北,高层(共8层),1996年建造,文汇花园,宝安,新安,宝民一路204号,"南北,近地铁",258.0,32742元/㎡,78.8,258.0,32742.0,1996.0,3.0
仁恒二期南向三房，次新小区，精装修可拎包入住，视野  棒,3室2厅2卫,99.63㎡,南,中层(共32层),2021年建造,仁恒公园世纪(二期),龙岗,爱联,爱南路,"南,满五年,近地铁,车位充足",345.0,34629元/㎡,99.63,345.0,34629.0,2021.0,3.0
福田绿景花园 沙尾地铁口大三房 业主急售 小区,3室2厅2卫,112.7㎡,南北,中层(共13层),1998年建造,绿景花园(一期),福田,新洲,福强路3018号,"南北,满五年,近地铁",510.0,45253元/㎡,112.7,510.0,45253.0,1998.0,3.0
麒麟  加持 南头核心改善电梯小高层 南北通透看花园装修漂亮,3室2厅2卫,105㎡,南北,中层(共17层),1998年建造,麒麟花园,南山,南头,玉泉路3号,"南北,近地铁,绿化率高,采光较好",566.0,53905元/㎡,105.0,566.0,53905.0,1998.0,3.0
精装修，高实用率南向3房，18年次新小区，业主诚心出售,3室2厅1卫,71.78㎡,南,中层(共26层),2018年建造,红花雅筑,南山,南头,红花路,"南,热门小区,房东急售,随时可看",530.0,73837元/㎡,71.78,530.0,73837.0,2018.0,3.0
颐安都会大户型  地铁站配套4房  栋   商业中心华南师范,4室2厅2卫,119.86㎡,南,中层(共30层),2016年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南,满五年,近地铁,车位充足",496.0,41382元/㎡,119.86,496.0,41382.0,2016.0,4.0
金地梅陇镇(一二三期) 南北通透 医疗配套成熟 高楼层视野好,3室2厅2卫,89.86㎡,南北,高层(共33层),2009年建造,金地梅陇镇(一二三期),龙华,民治,民安路136号,"南北,满五年,近地铁,绿化率高",388.0,43179元/㎡,89.86,388.0,43179.0,2009.0,3.0
包外国语横岗双地铁大五房业主调价包税急卖满五红本来电优先看房,5室2厅3卫,169.43㎡,东南,中层(共12层),2023年建造,正大时代华庭,龙岗,横岗,埔园路109号,"东南,满五年,近地铁,绿化率高",392.0,23137元/㎡,169.43,392.0,23137.0,2023.0,5.0
深业上城，精装修拎包入住，南向安静户型，看房有钥匙,1室2厅2卫,110.12㎡,南,低层(共62层),2014年建造,深业上城,福田,莲花村,皇岗路5001号,"南,满五年,近地铁,车位充足",900.0,81730元/㎡,110.12,900.0,81730.0,2014.0,1.0
（换房易  房）  产权清晰 业主诚心出售,3室2厅2卫,88.43㎡,南北,低层(共37层),2017年建造,万科麓城三期,布吉,上水径,布龙路,"南北,满五年,近地铁,多人关注",308.0,34830元/㎡,88.43,308.0,34830.0,2017.0,3.0
！福田中心区电梯小高层，石厦本部星河C C,4室2厅2卫,156.38㎡,南北,中层(共30层),2003年建造,星河国际花园,福田,购物公园,福华三路289号,"南北,满五年,近地铁,车位充足",1240.0,79295元/㎡,156.38,1240.0,79295.0,2003.0,4.0
麒麟花园三期电梯小高层，全屋重新装修，麒麟中小  ，价格可谈,3室2厅2卫,102㎡,南北,中层(共10层),2004年建造,麒麟花园,南山,南头,玉泉路3号,"南北,满五年,近地铁,绿化率高",515.0,50491元/㎡,102.0,515.0,50491.0,2004.0,3.0
龙华地铁口 次新小区 居家三房,3室2厅2卫,96.6㎡,南北,中层(共52层),2024年建造,四海华亭,龙华,龙华,工业路,"南北,满五年,近地铁,次新房",348.0,36025元/㎡,96.6,348.0,36025.0,2024.0,3.0
超大花园社区，出门就是地铁口和盒马,3室2厅1卫,96.96㎡,北,中层(共32层),1995年建造,益田村,福田,益田村,益田路,"北,满五年,近地铁,户型方正",406.0,41873元/㎡,96.96,406.0,41873.0,1995.0,3.0
得房率高 商业配套成熟 产权清晰 交通便利 近地铁,4室1厅1卫,91.39㎡,南,高层(共8层),1994年建造,锦洲花园,福田,新洲,新洲三街168号,"南,近地铁,采光较好",378.0,41362元/㎡,91.39,378.0,41362.0,1994.0,4.0
（本周必卖）业主急售！！可议价！！精装修三房！！包税过户！！,4室2厅2卫,97.44㎡,南,低层(共19层),2002年建造,丽景城,宝安,西乡,前进二路100号,"南,热门小区,房东急售,随时可看",428.0,43925元/㎡,97.44,428.0,43925.0,2002.0,4.0
华润万象盘热点楼盘，少有东向大两房，只有契税！双桂园空置,2室1厅1卫,67.77㎡,东,中层(共26层),2005年建造,嘉宝田花园,罗湖,笋岗,笋岗东路2008号,"东,满五年,近地铁",480.0,70828元/㎡,67.77,480.0,70828.0,2005.0,2.0
业主诚心出售，价格实惠！伴山景观,5室2厅2卫,135.97㎡,东南,高层(共32层),2020年建造,尖岗山壹号花园,宝安,流塘,上川路,"东南,唯一住房,近地铁,车位充足",1000.0,73546元/㎡,135.97,1000.0,73546.0,2020.0,5.0
桑泰5字头卖朝南的3房，使用率高，安静房源,3室2厅1卫,84.3㎡,南北,中层(共21层),2008年建造,桑泰丹华府(二期),南山,大学城,丽山路6号,"南北,满五年,近地铁,车位充足",480.0,56940元/㎡,84.3,480.0,56940.0,2008.0,3.0
四月新上，步梯二楼正规三房，采光通风好，随时可以看房,3室1厅1卫,71.87㎡,南北,低层(共8层),1990年建造,松泉公寓,罗湖,布心,太白路3038号,"南北,满五年,近地铁,绿化率高",220.0,30611元/㎡,71.87,220.0,30611.0,1990.0,3.0
新上好房，装修绝绝子，三房满足你的温馨小窝，万科天誉,3室2厅2卫,87.34㎡,南北,低层(共41层),2018年建造,万科天誉(二期),龙岗,龙岗中心城,"龙翔大道,近德政路","南北,热门小区,近地铁,配套成熟",360.0,41219元/㎡,87.34,360.0,41219.0,2018.0,3.0
专车接送   价380  通关口岸10   70年住宅,3室2厅2卫,83㎡,南,,2027年建造,莲塘金岸里,罗湖,莲塘,港莲路与莲南路交汇处,"厨卫全明,客餐厅相连,南北通透,多轨交",400.0,48193元/㎡,83.0,400.0,48193.0,2027.0,3.0
康华苑 2室2厅 235.0万,2室2厅1卫,83㎡,南,高层(共8层),1998年建造,康华苑,龙华,龙华,建达路,"南,有电梯,近地铁,车位充足",235.0,28314元/㎡,83.0,235.0,28314.0,1998.0,2.0
宝中笋盘 精装修现房   即入住！价格可议 附赠20平带车位,3室2厅2卫,77㎡,南北,低层(共45层),2024年建造,天健和郡府,宝安,宝安中心区,创业一路1092号,"南北,近地铁,次新房",297.0,38572元/㎡,77.0,297.0,38572.0,2024.0,3.0
万科清林径看湖景大2房,2室2厅1卫,78.97㎡,北,低层(共32层),2012年建造,万科清林径(二期),龙岗,龙岗中心城,"连心路,近朱古石路","北,满五年,绿化率高,多人关注",160.0,20261元/㎡,78.97,160.0,20261.0,2012.0,2.0
平湖金御佳园 地铁口300  朝南精装3房双卫 臻盘,3室2厅2卫,87㎡,东南,高层(共29层),2021年建造,佳兆业金御佳园,龙岗,平湖,平安大道,"东南,满五年,近地铁,次新房",285.0,32759元/㎡,87.0,285.0,32759.0,2021.0,3.0
港铁天颂精装三房，紧邻地铁口，红本在手，业主诚意出售,3室2厅2卫,88.91㎡,南北,高层(共48层),2017年建造,港铁天颂,龙华,民治,和平路374号,"南北,近地铁",398.0,44765元/㎡,88.91,398.0,44765.0,2017.0,3.0
万科云城(三期) 高楼层精装大3房  小区新 13号地铁口,3室2厅2卫,98.8㎡,南北,高层(共40层),2018年建造,万科云城(三期),南山,西丽,打石二路1号,"南北,热门小区,近地铁,配套成熟",460.0,46559元/㎡,98.8,460.0,46559.0,2018.0,3.0
金地香蜜山 南 精装 4室 2厅,3室2厅2卫,136.15㎡,南,低层(共33层),2004年建造,金地香蜜山,福田,香蜜湖,安托山九路2号,"南,热门小区,优势户型,房东急售",898.0,65957元/㎡,136.15,898.0,65957.0,2004.0,3.0
正规大两房 业主诚心出售，欢迎随时询价，看房随时方便,2室2厅1卫,65.42㎡,东南,低层(共19层),2019年建造,金地龙城中央(一三期商住楼),龙岗,龙岗中心城,龙城大道,"东南,满五年,近地铁,采光较好",115.0,17579元/㎡,65.42,115.0,17579.0,2019.0,2.0
南向三室两厅，宽敞舒适，公园环绕，地铁便捷，理想家居选择！,3室2厅2卫,94.21㎡,南,低层(共11层),2021年建造,深铁瑞城,光明,光明,光侨路,"南,满二年,近地铁,次新房",448.0,47554元/㎡,94.21,448.0,47554.0,2021.0,3.0
为何28岁北漂深崩溃，只因错过地铁口三房,3室2厅2卫,88.57㎡,东南,中层(共45层),2016年建造,宝能城花园(东区),南山,大学城,留仙大道3288号,"东南,满五年,近地铁,车位充足",780.0,88066元/㎡,88.57,780.0,88066.0,2016.0,3.0
！顶楼复式大花园，阳光真的很舒适！,6室4厅2卫,164.47㎡,南北,高层(共11层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"南北,满五年,近地铁,多人关注",960.0,58370元/㎡,164.47,960.0,58370.0,2002.0,6.0
福田次新海景   ，豪装三房视野无遮挡，福外护航品质高,3室2厅1卫,77.56㎡,南,高层(共28层),2010年建造,福保桂花苑,福田,保税区,桂花路19号,"南,满二年,近地铁,绿化率高",540.0,69624元/㎡,77.56,540.0,69624.0,2010.0,3.0
业主置换，着急出售，价格能谈，御景华城方正两房诚心出售,2室2厅1卫,62.3㎡,西北,低层(共36层),2005年建造,京基御景华城,福田,赤尾,滨河大道3001号,"西北,热门小区,价格优惠,房东急售",290.0,46549元/㎡,62.3,290.0,46549.0,2005.0,2.0
中熙君南山3房，诚心出售,3室2厅2卫,89.46㎡,东北,高层(共33层),2017年建造,中熙君南山,南山,南油,荔林路8号,"东北,有电梯,近地铁,车位充足",780.0,87190元/㎡,89.46,780.0,87190.0,2017.0,3.0
南山中心区 小三房 出行方便 商业配套齐全 商品房 双卫生间,3室2厅2卫,97.06㎡,西南,低层(共23层),1995年建造,荔园大厦,南山,南山中心区,桂庙路24号,"西南,满五年,近地铁,采光较好",370.0,38121元/㎡,97.06,370.0,38121.0,1995.0,3.0
慢城(一二三期) 满五唯一 近医院 精装好房 中间楼层,2室2厅1卫,81.26㎡,南,高层(共22层),2006年建造,慢城(一二三期),布吉,慢城,科技园路8号,"南,满五年,近地铁,户型方正",330.0,40611元/㎡,81.26,330.0,40611.0,2006.0,2.0
皇庭世纪花园 西南 精装 3室,3室2厅2卫,91.52㎡,西南,中层(共31层),2004年建造,皇庭世纪,福田,皇岗,益田路3006号,"西南,满五年,近地铁",630.0,68838元/㎡,91.52,630.0,68838.0,2004.0,3.0
建鑫苑诚心出售，  中楼层，带    与地面花园，小区人车分,3室2厅2卫,95.06㎡,东,中层(共32层),2002年建造,新新家园,福田,石厦,石厦街35号,"东,唯一住房,近地铁,绿化率高",628.0,66064元/㎡,95.06,628.0,66064.0,2002.0,3.0
叠翠新峰 南 精装 3室 2厅 96.93m,3室2厅2卫,95.78㎡,南,低层(共9层),2004年建造,叠翠新峰,龙岗,龙岗中心城,碧新路2066号,"南,热门小区,近地铁,优势户型",170.0,17750元/㎡,95.78,170.0,17750.0,2004.0,3.0
凯旋城装修好四房，九年前装修，拎包入住,4室2厅2卫,133.57㎡,南北,中层(共32层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南北,满五年,近地铁",925.0,69253元/㎡,133.57,925.0,69253.0,2006.0,4.0
福田center park，公园绿化，环境优美，金地物管,4室2厅2卫,114.02㎡,东南,中层(共50层),2023年建造,华富村,福田,华强北,华富路,"东南,满五年,近地铁,次新房",1220.0,106999元/㎡,114.02,1220.0,106999.0,2023.0,4.0
翠园本部！景贝南！精装大三房 楼层好 南北通透 近地铁,3室2厅1卫,93.54㎡,东南,低层(共7层),1985年建造,景贝南住宅区,罗湖,黄贝岭,黄贝路1008号,"东南,满五年,近地铁,户型方正",318.0,33997元/㎡,93.54,318.0,33997.0,1985.0,3.0
挂价不是买价 急售 价格可谈 中间楼层 产权清晰 可随时看房,4室2厅2卫,89.46㎡,西南,低层(共39层),2020年建造,财富城,坪山,坪山,和强路8号,"经纪人力荐,西南,满五年,近地铁",256.0,28617元/㎡,89.46,256.0,28617.0,2020.0,4.0
价格很大惊喜，全天可看房，这个月就想卖掉！,3室2厅1卫,91.16㎡,南北,高层(共29层),2012年建造,深云村,南山,桃源村,深云路28号,"南北,近地铁",699.0,76679元/㎡,91.16,699.0,76679.0,2012.0,3.0
新上港铁天颂笋盘 业主诚心卖价格可沟通 价格有惊喜,3室2厅2卫,87.25㎡,南北,低层(共48层),2017年建造,港铁天颂,龙华,民治,和平路374号,"热门小区,南北通透,房东急售",365.0,41834元/㎡,87.25,365.0,41834.0,2017.0,3.0
深大地铁口，户型方正，通风采光佳，带地面花园，人车分流,3室2厅1卫,96.53㎡,南,中层(共33层),2000年建造,汇景豪苑,南山,科技园,科兴路10号,"南,满五年,近地铁",468.0,48483元/㎡,96.53,468.0,48483.0,2000.0,3.0
地铁旁三室两厅，花园小区，生活便利，舒适宜居！,3室2厅1卫,97.6㎡,北,中层(共11层),2004年建造,润城花园,南山,西丽,龙井路348号,"北,唯一住房,近地铁,采光较好",650.0,66599元/㎡,97.6,650.0,66599.0,2004.0,3.0
业主花了30万装修 鹏盛年华 精装2室一厅 采光很好价格可谈,2室2厅1卫,59.67㎡,南北,中层(共25层),2023年建造,鹏盛年华,福田,八卦岭,八卦一路,"经纪人力荐,南北,满五年,近地铁",335.0,56143元/㎡,59.67,335.0,56143.0,2023.0,2.0
双龙地铁口 怡龙精装修大三房 业主急售 产权清晰！！！,3室2厅1卫,88.7㎡,南北,低层(共28层),2011年建造,怡龙枫景园,龙岗,龙岗中心城,建新路8号,"南北通透,优势户型,房东急售",178.0,20068元/㎡,88.7,178.0,20068.0,2011.0,3.0
福外本部，花园社区，大三房,3室2厅1卫,86.38㎡,北,高层(共33层),2002年建造,天然居,福田,景田北,景田北街1号,"北,满五年,近地铁,绿化率高",750.0,86826元/㎡,86.38,750.0,86826.0,2002.0,3.0
石厦 次新小区 医疗配套成熟 双卫 正规商品房 交通便捷,4室2厅2卫,137.67㎡,南北,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南北,满二年,近地铁,次新房",1050.0,76270元/㎡,137.67,1050.0,76270.0,2024.0,4.0
罗湖御龙天地交完房不到1年楼下益田假日广场,3室2厅2卫,120㎡,西北,高层(共55层),2024年建造,御龙天地,罗湖,翠竹,华丽路,"西北,唯一住房,近地铁,次新房",810.0,67500元/㎡,120.0,810.0,67500.0,2024.0,3.0
滨江新村 商业配套成熟 近医院 高楼层视野无遮挡 大三房,3室2厅1卫,98.59㎡,北,高层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"北,满五年,近地铁,采光较好",418.0,42398元/㎡,98.59,418.0,42398.0,1984.0,3.0
交房啦！4室729！南向前排景观，看房方便,4室2厅2卫,104.86㎡,东南,高层(共41层),2025年建造,御水华府,福田,华强北,滨河大道,"东南,满二年,近地铁,次新房",739.0,70475元/㎡,104.86,739.0,70475.0,2025.0,4.0
深业东岭  单位 朝南三房两卫 业主急卖 低成交价30万,3室2厅2卫,105.66㎡,南,低层(共26层),2018年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"经纪人力荐,南,热门小区,价格优惠",620.0,58679元/㎡,105.66,620.0,58679.0,2018.0,3.0
深物业金领 电梯房 产权清晰 商圈成熟 楼龄新 精装修,2室2厅1卫,62.95㎡,西,低层(共48层),2018年建造,深物业金领,福田,皇岗,福田南路40号,"西,热门小区,优势户型,房东急售",420.0,66720元/㎡,62.95,420.0,66720.0,2018.0,2.0
新出 价房源 南向看花园高层无遮挡！！全新装修诚心出售可谈价,3室2厅1卫,87㎡,南北,中层(共18层),2003年建造,星海名城(二期),南山,前海,前海路3103号,"南北,满五年,近地铁,绿化率高",398.0,45748元/㎡,87.0,398.0,45748.0,2003.0,3.0
新出！！玮鹏一期端头三房优秀的采光，随时看房，性价比！！,3室2厅2卫,104.77㎡,东南,低层(共33层),2002年建造,玮鹏花园,福田,华强北,振中路1号,"东南,有电梯,近地铁,采光较好",760.0,72540元/㎡,104.77,760.0,72540.0,2002.0,3.0
盛璟润府诚心出售，低税费方正户型，通风采光佳，楼龄新，车位充,3室2厅2卫,96.87㎡,南,中层(共44层),2023年建造,盛璟润府,龙华,美丽365花园,和平路,"南,满五年,近地铁,次新房",545.0,56261元/㎡,96.87,545.0,56261.0,2023.0,3.0
南山深铁懿府，花园小区，精装大三房，朝南向，采光  。,3室2厅2卫,112㎡,南,低层(共29层),2021年建造,深铁懿府,南山,桃源村,深安路,"南,唯一住房,近地铁,车位充足",1200.0,107143元/㎡,112.0,1200.0,107143.0,2021.0,3.0
五一   梅林一村 豪装大方厅90，深中梅香   看山景,3室2厅1卫,90.29㎡,东北,高层(共32层),1998年建造,梅林一村(一至四区),福田,下梅林,梅林路140号,"东北,热门小区,房东急售,随时可看",636.0,70440元/㎡,90.29,636.0,70440.0,1998.0,3.0
398直接开炸，次新小区精装大三房，业主诚心挂盘，看房方便,3室2厅1卫,89.29㎡,南,中层(共31层),2016年建造,领航城领秀花园,宝安,领航城,"航空路,近固航路","南,满五年,近地铁,户型方正",430.0,48158元/㎡,89.29,430.0,48158.0,2016.0,3.0
市场价！天虹上盖地铁物业 龙华   区 成熟配套 随时看,3室2厅2卫,87.6㎡,南北,中层(共36层),2013年建造,中航天逸,龙华,民治,民繁路,"南北,满五年,近地铁,车位充足",598.0,68265元/㎡,87.6,598.0,68265.0,2013.0,3.0
万科和风轩97平横厅三房两卫，保养好，中楼层，诚意出售,3室2厅2卫,96.24㎡,东南,中层(共32层),2020年建造,深国际万科和风轩,龙华,梅林关口,岭南路,"东南,价格优惠,房东急售,随时可看",490.0,50915元/㎡,96.24,490.0,50915.0,2020.0,3.0
业主急用钱，家里人生病，着急出手,3室2厅1卫,88.47㎡,南,中层(共26层),2010年建造,怡龙枫景园,龙岗,龙岗中心城,建新路8号,"南,满五年,近地铁,户型方正",180.0,20346元/㎡,88.47,180.0,20346.0,2010.0,3.0
前海枫叶大厦精装三房诚心出售,3室2厅1卫,55.17㎡,北,低层(共21层),2018年建造,前海枫叶大厦,南山,南山地铁口,常兴路,"北,热门小区,房东急售,随时可看",247.0,44771元/㎡,55.17,247.0,44771.0,2018.0,3.0
坪山围地铁口 花样年精装修朝东南3房2卫业主诚心出售,3室2厅2卫,96.3㎡,东南,低层(共43层),2022年建造,花样年好时光(一期),坪山,坪山,东纵路403号,"经纪人力荐,东南,满五年,近地铁",180.0,18692元/㎡,96.3,180.0,18692.0,2022.0,3.0
玮鹏花园三期，高楼层两房，红五一产权，诚售看房随时,2室2厅1卫,77.88㎡,北,中层(共31层),2003年建造,玮鹏花园,福田,华强北,振中路1号,"北,满五年,近地铁,户型方正",520.0,66770元/㎡,77.88,520.0,66770.0,2003.0,2.0
海景，业主工厂需要资金，很急,3室2厅1卫,91.64㎡,南,高层(共32层),2007年建造,祥云天都世纪,福田,新洲,新洲三街15号,"南,满五年,近地铁",411.0,44850元/㎡,91.64,411.0,44850.0,2007.0,3.0
信义 商圈成熟 商品房 精装好房 满五 高楼层视野好,3室2厅2卫,86.46㎡,东北,高层(共27层),2012年建造,信义荔山公馆,布吉,信义,百鸽路180号,"东北,满五年,近地铁",430.0,49734元/㎡,86.46,430.0,49734.0,2012.0,3.0
深中南创大三房精装拎包入住！！出国急售出价就能卖,4室1厅1卫,58.37㎡,南,低层(共36层),1992年建造,丹华公馆,南山,西丽,打石一路237,"南,唯一住房,近地铁",328.0,56194元/㎡,58.37,328.0,56194.0,1992.0,4.0
御龙天地华府！方正户型，南向！毛坯，可按照喜欢风格装修,3室2厅1卫,96㎡,南,高层(共55层),2024年建造,御龙天地,罗湖,翠竹,华丽路,"南,满二年,近地铁,次新房",680.0,70834元/㎡,96.0,680.0,70834.0,2024.0,3.0
1楼全新装修，5字头可谈，看房随时，税费低！,3室2厅2卫,86.96㎡,南北,低层(共7层),1989年建造,田苑小区,罗湖,翠竹,田贝三路88号,"南北,满五年,近地铁,采光较好",530.0,60948元/㎡,86.96,530.0,60948.0,1989.0,3.0
急售)新房业主从没住过，  双龙抱珠，业主急需用钱，出价就谈,3室2厅2卫,96㎡,南北,中层(共45层),2025年建造,东海富汇豪庭,罗湖,莲塘,畔山路85号,"南北,满五年,近地铁,次新房",416.0,43334元/㎡,96.0,416.0,43334.0,2025.0,3.0
前海北花园大社区 小高层大三房业主急售价格可谈 看房方便,3室2厅2卫,101.18㎡,南北,高层(共11层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"南北,近地铁,多人关注",688.0,67998元/㎡,101.18,688.0,67998.0,2002.0,3.0
深中  加持！地铁口物业！雅福居新出豪装三房，诚心出售！,3室2厅1卫,85㎡,东,中层(共21层),2010年建造,雅福居,福田,香蜜湖,侨香三道28号,"东,满五年,近地铁",1090.0,128236元/㎡,85.0,1090.0,128236.0,2010.0,3.0
深业上城旁  大型公务员社区    楼层  装修好可拎包入住,3室2厅1卫,93.92㎡,南北,中层(共8层),1993年建造,莲花一村,福田,莲花村,笋岗西路4001号,"南北,满五年,近地铁,绿化率高",558.0,59413元/㎡,93.92,558.0,59413.0,1993.0,3.0
宏发世纪花园小区，环境优美，生活配套齐全，户型方正明亮。,4室2厅1卫,88.11㎡,东南,高层(共28层),2016年建造,宏发世纪城(二期),宝安,石岩,宝石东路,"经纪人力荐,东南,满五年,近地铁",398.0,45171元/㎡,88.11,398.0,45171.0,2016.0,4.0
万家灯火 商品房 有电梯 商圈成熟 交通便捷 近地铁,3室2厅1卫,81.9㎡,东,中层(共8层),2003年建造,万家灯火,龙华,龙华,梅板大道172号,"东,满五年,近地铁",320.0,39073元/㎡,81.9,320.0,39073.0,2003.0,3.0
天健天骄花园的大三房户型，户型方正,3室2厅2卫,123㎡,西南,高层(共45层),2019年建造,天健天骄,福田,景田北,"景田西路,近商报路","西南,热门小区,配套成熟,满五",1480.0,120326元/㎡,123.0,1480.0,120326.0,2019.0,3.0
精装修 停车方便 双卫格局 商业配套齐全 带电梯 出行方便,3室2厅2卫,110.9㎡,南北,中层(共9层),2007年建造,中航格澜阳光花园(一期),龙华,观澜,大和路,"南北,满五年,近地铁,车位充足",370.0,33364元/㎡,110.9,370.0,33364.0,2007.0,3.0
锦绣江南一期三房，诚心出售,3室2厅1卫,91.32㎡,北,中层(共6层),2003年建造,锦绣江南(一二三期),龙华,锦绣江南,人民北路31号,"北,热门小区,价格优惠,房东急售",473.0,51796元/㎡,91.32,473.0,51796.0,2003.0,3.0
新世界临海揽山(公寓住宅) 次新房 精装好房 正规商品房,3室2厅2卫,111.9㎡,南,中层(共42层),2023年建造,新世界临海揽山(公寓住宅),南山,蛇口,沿山路29号,"南,满二年,近地铁,次新房",1299.0,116086元/㎡,111.9,1299.0,116086.0,2023.0,3.0
