标题,户型,面积,朝向,楼层,建造年份,小区名称,区域,商圈,地址,标签,总价(万),单价(元/㎡)
光明1号 车位充足 商品房 带电梯 精装好房 中间楼层,3室2厅1卫,81.25㎡,南北,中层(共32层),2016年建造,光明1号,光明,光明,光明大道,"南北,满二年,近地铁,车位充足",230,28308元/㎡
麒麟花园三期 南山一梯队  麒麟实验 居家户型，业主诚心出售,3室2厅2卫,109.93㎡,南北,中层(共24层),2002年建造,麒麟花园,南山,南头,玉泉路3号,"南北,满五年,近地铁,绿化率高",798,72592元/㎡
国华大厦~电梯房~正规3居室~带独立客厅~出行方便~有钥匙,3室2厅2卫,85㎡,东南,高层(共30层),2016年建造,国华大厦,福田,香蜜湖,侨香三道2号,"东南,满五年,近地铁,多人关注",250,29412元/㎡
锦荟南向三房看山景 诚心出 看房预约,3室2厅2卫,89.35㎡,南北,低层(共33层),2016年建造,锦荟PARK,龙岗,横岗,龙岗大道,"南北,满五年,近地铁",290,32457元/㎡
世纪村 近地铁 精装可拎包入住 近医院 满五   正规商品房,6室3厅4卫,364.11㎡,南,高层(共15层),2001年建造,世纪村,南山,华侨城,沙河东路118号,"南,配套成熟,价格优惠,房东急售",3024,83052元/㎡
实拍璟荟名庭3房，一百六出手，送家私电，红本住宅，楼下地铁口,3室2厅2卫,79㎡,南北,高层(共26层),2022年建造,璟荟名庭,宝安,松岗,福祥路,"南北,满五年,次新房,人气热搜",228,28861元/㎡
新出，风和日丽高楼层，看小区花园，带深中,3室2厅2卫,98.99㎡,南北,高层(共8层),2002年建造,风和日丽花园,龙华,锦绣江南,龙华人民路3186号,"南北,满五年,近地铁,采光较好",290,29296元/㎡
锦绣江南精装修南北通三房，精装拎包入住,3室2厅2卫,90.7㎡,南,高层(共6层),2004年建造,锦绣江南(一二三期),龙华,锦绣江南,人民北路31号,"南,唯一住房,近地铁,采光较好",309,34069元/㎡
24年新房，福田zhong心区，购物公园就在旁边,4室2厅2卫,138㎡,南北,高层(共36层),2024年建造,佳兆业佳园,福田,福田中心区,中心二路1号,"南北,满二年,近地铁,次新房",1065,77174元/㎡
园东花园，精装3房，安静舒适，诚心出售,3室2厅1卫,85.53㎡,东北,中层(共32层),1996年建造,园东花园,福田,园岭,园岭五街1号,"东北,满五年,近地铁",550,64305元/㎡
金泓凯旋城精装两房出售,2室2厅1卫,79.77㎡,北,中层(共32层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"北,热门小区,近地铁,房东急售",558,69952元/㎡
650了嗷！深业97平能做四房的有见过嘛价格有惊喜你懂的！,4室2厅1卫,97㎡,南,低层(共27层),2008年建造,深业新岸线,宝安,宝安中心区,兴业路,"南,满五年,近地铁,绿化率高",680,70104元/㎡
香蜜三村三房，满五年，近莲花山,3室2厅1卫,95.76㎡,西南,中层(共25层),1995年建造,香蜜三村,福田,景田南,景田南四街30号,"西南,满五年,近地铁",388,40518元/㎡
乐城(一期) 装修好 出行方便 带电梯 满五   临地铁,4室2厅2卫,130.98㎡,南,中层(共33层),2015年建造,乐城(一期),龙岗,横岗,龙岗大道横岗段7559号,"南,满五年,近地铁,户型方正",428,32677元/㎡
深大南地铁旁，双龙抱珠，精装修，和小杨看房有折扣,3室2厅2卫,105㎡,东南,,2028年建造,翰熙典居,南山,南山中心区,粤海街道桂庙新村东门,"主卧套房,客餐厅相连,卧室全朝南,多轨交",1066,101524元/㎡
前海蛇口交汇处 三面环山一面看海 配套齐全 单价5.5万起,3室2厅2卫,129㎡,西北,,2024年建造,开云府(新房),南山,海上世界,赤湾六路东北侧,"主卧套房,厨卫全明,卧室全朝南,购物中心",1161,90000元/㎡
香蜜湖 一手新规房 12XX 双龙爆珠大3房， 车位充足,3室2厅2卫,105㎡,南,,2028年建造,新世界香蜜四季,福田,福田中心区,新闻路与香梅路交汇处,"厨卫全明,主卧套房,客餐厅相连,多轨交",1415,134762元/㎡
前海花园~全明格局~交通便利~低楼层~新装3居室~南北通透,3室2厅2卫,90.94㎡,南,高层(共7层),2005年建造,前海花园,南山,前海,桃园路288号,"南,满五年,近地铁,采光较好",470,51683元/㎡
随时可看园岭新村精装3居 总价税费低交通便利,3室2厅1卫,84.33㎡,南北,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,满五年,近地铁,采光较好",499,59173元/㎡
一梯两户小高层，万科物业区政府对面,4室2厅2卫,129㎡,南北,中层(共7层),1997年建造,信托花园,福田,石厦,石厦北一街10号,"南北,唯一住房,近地铁,采光较好",799,61938元/㎡
远洋天萃世纪 龙岗坂田新规新房,3室2厅2卫,89㎡,南,,2026年建造,远洋天萃世纪,龙岗,坂田,地铁10号线光雅园站B出口,"厨卫全明,私密性好,客餐厅相连,多轨交",434,48765元/㎡
黄贝岭正规三房，地铁口物业，精装修，近指导价出售,3室2厅2卫,92.48㎡,东,中层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"东,价格优惠,随时可看",485,52444元/㎡
电梯多层三房 大花园社区出门前海山姆 地铁,3室2厅1卫,89.87㎡,南北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"南北,满五年,近地铁,户型方正",425,47291元/㎡
前海 星海名城 临地铁 商品房 医疗配套成熟 双卫 环境好,3室2厅2卫,90.6㎡,东北,中层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",496,54747元/㎡
7字头单价即  车中心区豪宅，抢！,3室2厅2卫,117.63㎡,南北,中层(共26层),2003年建造,天健世纪花园,福田,福田中心区,福中一路1013号,"南北,唯一住房,近地铁,人气热搜",898,76342元/㎡
随时可看翠岭华庭精装4居 总价税费低交通便利,4室2厅2卫,109㎡,南北,低层(共30层),2016年建造,翠岭华庭,龙华,龙华,新区大道3号,"南北,满五年,近地铁,多人关注",235,21560元/㎡
还能谈个20多万，中心区单价4万的房子，带红岭  ，大三房,3室2厅2卫,100.2㎡,东北,低层(共25层),2002年建造,众孚大厦,福田,石厦,福民路139号,"东北,满五年,近地铁,采光较好",430,42915元/㎡
南山西丽大花园万科物业！大三房笋盘高层，业主精装！,3室2厅2卫,104.41㎡,西北,中层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,配套成熟,公摊小,交易周期可谈",560,53635元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,满五年,近地铁,绿化率高",555,58563元/㎡
喜欢院子的看过来，一楼带60平院子，南北通透4房，随时能看,4室2厅2卫,116.92㎡,南,低层(共12层),2002年建造,恒冠豪园,福田,石厦,石厦北二街4号,"南,满五年,近地铁,绿化率高",890,76121元/㎡
富通九曜公馆 装修豪华保养好 楼层好 满五   商圈成熟,4室2厅2卫,126.94㎡,西南,中层(共64层),2023年建造,富通九曜公馆,福田,新洲,新沙路18号,"西南,满二年,近地铁,次新房",999,78699元/㎡
业主急急急 南向大两房 刚需上车 空出,2室2厅1卫,70.48㎡,南,低层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",385,54626元/㎡
益田村诚心出售，低于均价，朝南高楼层，采光  ，带地面花园，,3室2厅1卫,87.44㎡,南,高层(共28层),1995年建造,益田村,福田,益田村,益田路,"南,满五年,近地铁,采光较好",499,57068元/㎡
合正香蜜原著。1栋，安静厅出阳台,3室2厅2卫,87.48㎡,西南,低层(共33层),2013年建造,香蜜原著,福田,香蜜湖,北环路7087号,"西南,热门小区,房东急售,随时可看",1180,134888元/㎡
前海花园 高使用率三房 满五    临地铁 交通便捷,3室2厅1卫,81.09㎡,西,低层(共18层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,户型方正",498,61414元/㎡
地铁站 仁恒公园世纪 103平方四房 满五 朝南 次新房,4室2厅2卫,103.15㎡,南,中层(共32层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"南,房东发布,满五年,近地铁",458,44402元/㎡
前海 星海名城 低密度高使用率的电梯小高层  双卫 动静分离,4室2厅2卫,115.53㎡,北,中层(共18层),2002年建造,星海名城(二期),南山,前海,前海路3103号,"北,满五年,近地铁,绿化率高",600,51935元/㎡
前海 星海名城(一期)  低密度小高层  精装可拎包入住,3室2厅2卫,92.96㎡,东北,低层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",495,53249元/㎡
温馨两室两厅，公园环绕，地铁便捷，理想居家选择！,2室2厅1卫,72㎡,西,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"西,有电梯,近地铁,次新房",499,69306元/㎡
中南花园好房源，宝实验低总价！,3室2厅1卫,82㎡,南北,中层(共12层),2002年建造,中南花园,宝安,宝安中心区,宝安大道1068号,"热门小区,南北通透,满五",408,49757元/㎡
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618,62532元/㎡
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,满五年,近地铁,采光较好",276,36364元/㎡
凯旋城朝南奢阔大三房，看房随时方便,3室2厅2卫,106.97㎡,南,中层(共31层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南,满五年,近地铁",780,72918元/㎡
红荔村住宅区 产权清晰 三居 好    南北通透,3室2厅1卫,97.86㎡,南北,低层(共7层),1989年建造,红荔村住宅区,福田,华强北,振兴路22-7号,"南北,满五年,近地铁,采光较好",718,73371元/㎡
西丽环境排  的小区，这套110平大3房，818万可以搞定。,3室2厅2卫,110㎡,南,低层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南,满二年,近地铁,次新房",818,74364元/㎡
深中龙初上车门槛 三房两卫拎包入住！,3室2厅2卫,89.15㎡,西南,低层(共33层),2017年建造,颐安麓园,龙岗,龙岗中心城,黄阁路,"西南,热门小区,新上小区,价格优惠",408,45766元/㎡
新天南向看海3房，已经出证，看房随时方便，片区,3室2厅1卫,88.07㎡,南,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",599,68015元/㎡
上叠带露台，上下四层，16号地铁口，大社区,7室2厅4卫,164.06㎡,南北,共3层,2006年建造,中央悦城,龙岗,龙岗中心城,长兴北路3号,"南北,满五年,近地铁,绿化率高",400,24382元/㎡
新洲    ，东向两室一厅，临近大型公园，享受自然与生活的完,2室2厅1卫,61.14㎡,东,低层(共13层),1999年建造,都市花园,福田,新洲,新洲路4003号,"东,唯一住房,近地铁,采光较好",399,65261元/㎡
前海花园新出两居室 有证    正南向 采光充足 无记录,3室2厅1卫,81.24㎡,西,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,采光较好",380,46775元/㎡
公务员社区，正规三房！04年社区，大花园,3室2厅1卫,92㎡,东北,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"东北,满五年,近地铁,采光较好",448,48696元/㎡
宝安中心 三房478      底价找立国,3室2厅1卫,80.24㎡,南北,高层(共24层),2007年建造,御景湾,宝安,宝安中心区,玉林路5号,"南北,热门小区,房东急售,随时可看",478,59572元/㎡
颐安都会中央(二期) 出行方便 临地铁 楼龄新 车位充足,2室2厅1卫,77㎡,南北,中层(共29层),2014年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南北,满五年,近地铁,车位充足",296,38442元/㎡
商品住宅 南北通透 小三居 近医院 车位充足 临地铁,3室2厅1卫,87.39㎡,南北,低层(共30层),2011年建造,中海康城花园,龙岗,大运,清辉路149号,"南北,近地铁,车位充足,多人关注",205,23459元/㎡
龙华壹方城，精装3室，业主急售，价格可谈！,3室2厅2卫,89.36㎡,东南,中层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"东南,满五年,近地铁",370,41406元/㎡
金泓凯旋城精装两房出售,2室2厅1卫,79.77㎡,北,中层(共32层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"北,满五年,近地铁,采光较好",558,69952元/㎡
四海华亭 交通便利 精装好房 高楼层视野无遮挡 次新房,3室2厅1卫,87㎡,东南,高层(共52层),2024年建造,四海华亭,龙华,龙华,工业路,"东南,房东发布,满二年,近地铁",320,36782元/㎡
全屋定制！鸿翔花园 南向3房 置换急卖！随时可看，价格可谈！,3室2厅1卫,98.35㎡,南北,高层(共33层),2005年建造,鸿翔花园,罗湖,国贸,松园路68号,"热门小区,南北通透,房东急售",699,71073元/㎡
急！雅居苑 红本按揭过户 送车位 租金4千 来电咨询打5折,3室15厅1卫,99㎡,南北,中层(共14层),2010年建造,雅居苑,宝安,西乡,宝安大道1010号,"南北,满五年,近地铁",112,11314元/㎡
花样年好时光(一期) 医疗配套成熟 车位充足 楼层好,2室2厅1卫,71.97㎡,南北,高层(共43层),2022年建造,花样年好时光(一期),坪山,坪山,东纵路403号,"南北,满五年,近地铁,车位充足",144,20009元/㎡
全新装修拎包入住，中银花园2房诚心出售，业主诚心急卖,2室2厅1卫,84.79㎡,东北,高层(共32层),1997年建造,中银花园,福田,福田中心区,福中一路1006号,"东北,满五年,近地铁,车位充足",385,45407元/㎡
推窗即山景！莲花山 灯光秀，东南向MVP户型，诚售,3室2厅2卫,96.61㎡,东南,高层(共29层),1994年建造,景新花园,福田,景田北,莲花路2002号,"东南,满五年,近地铁,采光较好",498,51548元/㎡
月供顶~不住啦 只要165 坪山中心区双地铁口精装大三房,3室2厅2卫,99.7㎡,南北,中层(共43层),2022年建造,花样年好时光(一期),坪山,坪山,东纵路403号,"南北,满二年,近地铁,车位充足",165,16550元/㎡
鸿荣源物业，准电梯精装修大三房，急卖，看房方便 欢迎私聊,3室2厅1卫,89.58㎡,西南,高层(共8层),1988年建造,弘雅花园(二期),宝安,新安,上川路32号,"西南,南北通透,优势户型,房东急售",399,44542元/㎡
自园岭新村，跟园岭业主非常熟大四房出售,4室2厅1卫,92.62㎡,南北,高层(共7层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,房东发布,满五年,近地铁",496,53553元/㎡
公园旁地铁口物业 急售价格可谈 看房方便,2室2厅1卫,62㎡,东南,低层(共32层),2010年建造,田贝花园,罗湖,洪湖,文锦北路1081号,"东南,满五年,近地铁,采光较好",248,40000元/㎡
光明新村~中层~小区安静舒适~明厨~明卫~南北户型,3室2厅2卫,80㎡,南北,中层(共25层),2016年建造,光明新村,光明,光明,华裕路,"南北,满五年,近地铁,多人关注",120,15000元/㎡
莲花山正规四房，超大阳台，通风采光,4室2厅2卫,135㎡,东,中层(共31层),2000年建造,天健名苑,福田,景田南,商报东路19号,"东,满二年,近地铁,车位充足",630,46667元/㎡
沙井 满五 双卫格局 小三房 精装可拎包入住 小区新 电梯房,3室2厅2卫,88.99㎡,南,低层(共33层),2015年建造,博林君瑞,宝安,沙井,"中心路,近上星南路","南,满五年,近地铁,户型方正",336.8,37847元/㎡
高层朝南 3房2卫 次新小区 满5年   花园大 急卖,3室2厅2卫,85.99㎡,南,高层(共32层),2019年建造,佳兆业御景佳园(一期),盐田,盐田,洪安路,"南,热门小区,价格优惠,房东急售",252,29306元/㎡
福田带私家院子的房子，还带固定车位！,3室2厅1卫,98.59㎡,南北,低层(共8层),1984年建造,滨江新村,福田,上步,东园路77号,"南北,满五年,近地铁,采光较好",438,44427元/㎡
潮汕 福建客户  ，南向露台方正三房，业主  委托,3室2厅2卫,98.06㎡,北,低层(共9层),1998年建造,嘉洲豪园,福田,新洲,滨河大道9013号,"北,满五年,近地铁,采光较好",540,55069元/㎡
商品房 购物方便 临地铁 小区新 精装修 满五,4室2厅3卫,150.2㎡,南,中层(共37层),2016年建造,万科公园里,布吉,南岭,樟富北路8号,"南,满五年,采光较好",568,37817元/㎡
香蜜湖香雅园.电梯小高层大三房业主诚心卖,3室2厅2卫,94.43㎡,东南,低层(共19层),2006年建造,香雅园,福田,香蜜湖,香水一街5号,"东南,满五年,近地铁",938,99333元/㎡
俊景豪园 商圈成熟 装修好 交通便捷 双卫生间 有电梯,3室2厅2卫,111.46㎡,东,低层(共30层),2003年建造,俊景豪园,福田,景田北,香梅路2002号,"东,满五年,近地铁,采光较好",688,61727元/㎡
福田中心区23年次新小区，现在业主急出,3室2厅2卫,98.31㎡,南,高层(共48层),2023年建造,福安瑞府,福田,福田中心区,彩田路,"南,热门小区,近地铁,新上小区",838,85241元/㎡
金融街业主急售大四房，高楼层双地铁，凤凰城，万达广场,4室2厅2卫,115.13㎡,北,高层(共37层),2020年建造,金融街华发融御华府,光明,光明,科能路,"北,满五年,近地铁,采光较好",420,36481元/㎡
龙华地铁口大信花园精装三房，诚心出售,3室2厅2卫,97.28㎡,南北,低层(共8层),2002年建造,大信花园,龙华,龙华中心区,龙发路215号,"南北,满五年,近地铁,绿化率高",330,33923元/㎡
鸿荣源次新小区大三房急售，可谈价，装修好,3室2厅2卫,88.27㎡,西南,低层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"西南,满五年,近地铁,采光较好",398,45089元/㎡
临地铁 精装修 中间好楼层 购物方便 交通便捷 医疗配套成熟,1室1厅1卫,41.42㎡,北,中层(共23层),2004年建造,东方新地,南山,南头,深南大道,"北,满五年,近地铁,人气热搜",199,48045元/㎡
临地铁 商业配套成熟 小三居 正规商品房 中间好楼层 双卫,3室2厅2卫,96㎡,南,中层(共46层),2023年建造,招商臻城,布吉,下水径,联中路,"南,满五年,近地铁,次新房",334,34792元/㎡
西荟城大3房 高使用率 280可以谈,3室2厅2卫,89.99㎡,南,低层(共32层),2013年建造,西荟城三期,宝安,沙井,"新沙路,近教育北路","南,热门小区,配套成熟,价格优惠",310,34449元/㎡
橄榄鹏苑 正规3居 拎包入住 婚房   社区环境,3室2厅1卫,95㎡,南,中层(共32层),2013年建造,橄榄鹏苑,福田,福田中心区,彩田路3030号,"南,满五年,近地铁,车位充足",285,30000元/㎡
西乡地铁口，东南向正规三房，赠送露台,3室2厅1卫,93.22㎡,东南,中层(共9层),2002年建造,大益广场,宝安,西乡,"共和工业路,近西乡大道","东南,房东发布,满五年,近地铁",350,37546元/㎡
留仙苑~温馨有家~端正大气~装修好~业主诚意卖~  停车免费,3室2厅2卫,78㎡,东南,中层(共9层),2014年建造,留仙苑,南山,西丽,沙河西路3291号,"东南,满五年,近地铁,车位充足",179.8,23052元/㎡
深圳换房易  合作乐有家，咨询有惊喜！,3室2厅2卫,105㎡,东南,,2028年建造,翰熙典居,南山,南山中心区,粤海街道桂庙新村东门,"主卧套房,客餐厅相连,卧室全朝南,多轨交",1066,101524元/㎡
前海蛇口交汇处 三面环山一面看海 配套齐全 单价5.5万起,3室2厅2卫,129㎡,西北,,2024年建造,开云府(新房),南山,海上世界,赤湾六路东北侧,"主卧套房,厨卫全明,卧室全朝南,购物中心",1161,90000元/㎡
香蜜湖 一手新规房 12XX 双龙爆珠大3房， 车位充足,3室2厅2卫,105㎡,南,,2028年建造,新世界香蜜四季,福田,福田中心区,新闻路与香梅路交汇处,"厨卫全明,主卧套房,客餐厅相连,多轨交",1415,134762元/㎡
前海花园~全明格局~交通便利~低楼层~新装3居室~南北通透,3室2厅2卫,90.94㎡,南,高层(共7层),2005年建造,前海花园,南山,前海,桃园路288号,"南,满五年,近地铁,采光较好",470,51683元/㎡
随时可看园岭新村精装3居 总价税费低交通便利,3室2厅1卫,84.33㎡,南北,中层(共8层),1983年建造,园岭新村,福田,园岭,笋岗西路2057号,"南北,满五年,近地铁,采光较好",499,59173元/㎡
一梯两户小高层，万科物业区政府对面,4室2厅2卫,129㎡,南北,中层(共7层),1997年建造,信托花园,福田,石厦,石厦北一街10号,"南北,唯一住房,近地铁,采光较好",799,61938元/㎡
福田单价7万准现楼 南北通4房2卫，家门口地铁大型商业综合体,3室2厅2卫,114㎡,南,,2026年建造,京基宸悦府,福田,上梅林,地铁4/9号线上梅林站约300米,"南北通透,厨卫全明,双阳台,多轨交",838,73509元/㎡
黄贝岭正规三房，地铁口物业，精装修，近指导价出售,3室2厅2卫,92.48㎡,东,中层(共45层),2017年建造,深业东岭,罗湖,黄贝岭,深南东路1002号,"东,价格优惠,随时可看",485,52444元/㎡
电梯多层三房 大花园社区出门前海山姆 地铁,3室2厅1卫,89.87㎡,南北,高层(共7层),1999年建造,前海花园,南山,前海,桃园路288号,"南北,满五年,近地铁,户型方正",425,47291元/㎡
7字头单价即  车中心区豪宅，抢！,3室2厅2卫,117.63㎡,南北,中层(共26层),2003年建造,天健世纪花园,福田,福田中心区,福中一路1013号,"南北,唯一住房,近地铁,人气热搜",898,76342元/㎡
随时可看翠岭华庭精装4居 总价税费低交通便利,4室2厅2卫,109㎡,南北,低层(共30层),2016年建造,翠岭华庭,龙华,龙华,新区大道3号,"南北,满五年,近地铁,多人关注",235,21560元/㎡
还能谈个20多万，中心区单价4万的房子，带红岭  ，大三房,3室2厅2卫,100.2㎡,东北,低层(共25层),2002年建造,众孚大厦,福田,石厦,福民路139号,"东北,满五年,近地铁,采光较好",430,42915元/㎡
南向采光好 交通便捷 电梯房 环境好 小三房 商品住宅,3室2厅1卫,94.77㎡,南,低层(共15层),2004年建造,万裕椰风海岸家园,南山,前海,桃李路33号,"南,满五年,近地铁,绿化率高",555,58563元/㎡
南山西丽大花园万科物业！大三房笋盘高层，业主精装！,3室2厅2卫,104.41㎡,西北,中层(共22层),2004年建造,南国丽城,南山,西丽,留仙大道1306号,"西北,配套成熟,公摊小,交易周期可谈",560,53635元/㎡
喜欢院子的看过来，一楼带60平院子，南北通透4房，随时能看,4室2厅2卫,116.92㎡,南,低层(共12层),2002年建造,恒冠豪园,福田,石厦,石厦北二街4号,"南,满五年,近地铁,绿化率高",890,76121元/㎡
富通九曜公馆 装修豪华保养好 楼层好 满五   商圈成熟,4室2厅2卫,126.94㎡,西南,中层(共64层),2023年建造,富通九曜公馆,福田,新洲,新沙路18号,"西南,满二年,近地铁,次新房",999,78699元/㎡
业主急急急 南向大两房 刚需上车 空出,2室2厅1卫,70.48㎡,南,低层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",385,54626元/㎡
益田村诚心出售，低于均价，朝南高楼层，采光  ，带地面花园，,3室2厅1卫,87.44㎡,南,高层(共28层),1995年建造,益田村,福田,益田村,益田路,"南,满五年,近地铁,采光较好",499,57068元/㎡
前海花园 高使用率三房 满五    临地铁 交通便捷,3室2厅1卫,81.09㎡,西,低层(共18层),2004年建造,前海花园,南山,前海,桃园路288号,"西,满五年,近地铁,户型方正",498,61414元/㎡
合正香蜜原著。1栋，安静厅出阳台,3室2厅2卫,87.48㎡,西南,低层(共33层),2013年建造,香蜜原著,福田,香蜜湖,北环路7087号,"西南,热门小区,房东急售,随时可看",1180,134888元/㎡
地铁站 仁恒公园世纪 103平方四房 满五 朝南 次新房,4室2厅2卫,103.15㎡,南,中层(共32层),2020年建造,仁恒公园世纪(一期),龙岗,爱联,龙岗大道,"南,房东发布,满五年,近地铁",458,44402元/㎡
前海 星海名城 低密度高使用率的电梯小高层  双卫 动静分离,4室2厅2卫,115.53㎡,北,中层(共18层),2002年建造,星海名城(二期),南山,前海,前海路3103号,"北,满五年,近地铁,绿化率高",600,51935元/㎡
前海 星海名城(一期)  低密度小高层  精装可拎包入住,3室2厅2卫,92.96㎡,东北,低层(共9层),2000年建造,星海名城(一期),南山,前海,前海路3101号,"东北,满五年,近地铁,绿化率高",495,53249元/㎡
温馨两室两厅，公园环绕，地铁便捷，理想居家选择！,2室2厅1卫,72㎡,西,中层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"西,有电梯,近地铁,次新房",499,69306元/㎡
厅出阳台朝南的三房，位置安静,3室2厅2卫,98.83㎡,西南,低层(共6层),2002年建造,阳光棕榈园,南山,前海,前海路2057号,"西南,满五年,近地铁,多人关注",618,62532元/㎡
中南花园好房源，宝实验低总价！,3室2厅1卫,82㎡,南北,中层(共12层),2002年建造,中南花园,宝安,宝安中心区,宝安大道1068号,"热门小区,南北通透,满五",408,49757元/㎡
上屋地铁口（内部价168全抛，红本过户）银行按揭，送新家私电,3室2厅1卫,75.9㎡,南,高层(共45层),2020年建造,嘉信云峰公馆,宝安,石岩,横坑工业大道2号,"南,满五年,近地铁,采光较好",276,36364元/㎡
凯旋城朝南奢阔大三房，看房随时方便,3室2厅2卫,106.97㎡,南,中层(共31层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"南,满五年,近地铁",780,72918元/㎡
红荔村住宅区 产权清晰 三居 好    南北通透,3室2厅1卫,97.86㎡,南北,低层(共7层),1989年建造,红荔村住宅区,福田,华强北,振兴路22-7号,"南北,满五年,近地铁,采光较好",718,73371元/㎡
西丽环境排  的小区，这套110平大3房，818万可以搞定。,3室2厅2卫,110㎡,南,低层(共30层),2021年建造,金众麒麟公馆,南山,大学城,沁园二路,"南,满二年,近地铁,次新房",818,74364元/㎡
新天南向看海3房，已经出证，看房随时方便，片区,3室2厅1卫,88.07㎡,南,高层(共40层),2024年建造,新天石厦铭苑,福田,石厦,石厦路,"南,有电梯,近地铁,次新房",599,68015元/㎡
深中龙初上车门槛 三房两卫拎包入住！,3室2厅2卫,89.15㎡,西南,低层(共33层),2017年建造,颐安麓园,龙岗,龙岗中心城,黄阁路,"西南,热门小区,新上小区,价格优惠",408,45766元/㎡
上叠带露台，上下四层，16号地铁口，大社区,7室2厅4卫,164.06㎡,南北,共3层,2006年建造,中央悦城,龙岗,龙岗中心城,长兴北路3号,"南北,满五年,近地铁,绿化率高",400,24382元/㎡
新洲    ，东向两室一厅，临近大型公园，享受自然与生活的完,2室2厅1卫,61.14㎡,东,低层(共13层),1999年建造,都市花园,福田,新洲,新洲路4003号,"东,唯一住房,近地铁,采光较好",399,65261元/㎡
公务员社区，正规三房！04年社区，大花园,3室2厅1卫,92㎡,东北,中层(共17层),2004年建造,前海花园,南山,前海,桃园路288号,"东北,满五年,近地铁,采光较好",448,48696元/㎡
前海 星海名城(三期) 满五   商圈成熟 交通便利,3室2厅1卫,98.72㎡,南,中层(共29层),2004年建造,星海名城(三期),南山,前海,前海路3101号,"南,满五年,近地铁,绿化率高",598,60576元/㎡
颐安都会中央(二期) 出行方便 临地铁 楼龄新 车位充足,2室2厅1卫,77㎡,南北,中层(共29层),2014年建造,颐安都会中央(二期),龙岗,大运,"龙岗大道,近爱南路","南北,满五年,近地铁,车位充足",296,38442元/㎡
宝安中心 三房478      底价找立国,3室2厅1卫,80.24㎡,南北,高层(共24层),2007年建造,御景湾,宝安,宝安中心区,玉林路5号,"南北,热门小区,房东急售,随时可看",478,59572元/㎡
商品住宅 南北通透 小三居 近医院 车位充足 临地铁,3室2厅1卫,87.39㎡,南北,低层(共30层),2011年建造,中海康城花园,龙岗,大运,清辉路149号,"南北,近地铁,车位充足,多人关注",205,23459元/㎡
龙华壹方城，精装3室，业主急售，价格可谈！,3室2厅2卫,89.36㎡,东南,中层(共48层),2020年建造,壹成中心第三区,龙华,龙华中心区,工业路,"东南,满五年,近地铁",370,41406元/㎡
四海华亭 交通便利 精装好房 高楼层视野无遮挡 次新房,3室2厅1卫,87㎡,东南,高层(共52层),2024年建造,四海华亭,龙华,龙华,工业路,"东南,房东发布,满二年,近地铁",320,36782元/㎡
金泓凯旋城精装两房出售,2室2厅1卫,79.77㎡,北,中层(共32层),2006年建造,金泓凯旋城,宝安,宝安中心区,新安一路20号,"北,满五年,近地铁,采光较好",558,69952元/㎡
